manifest_key,classification,frequency,cmd_code,period,reporter_code,flow_code,partner_code,status,rows,n_api_calls,chunk_id,error,updated_at
HS|A|AG2|2015|36|M|ALL,HS,A,AG2,2015,36,M,ALL,success,7249,1,b2fb9111294a446d9f8ef486cd5037d6,,2026-05-15T00:08:43+00:00
HS|A|AG2|2015|36|X|ALL,HS,A,AG2,2015,36,X,ALL,success,8280,1,96f013b0600044c0b8fcefc40602b7f6,,2026-05-15T00:08:51+00:00
HS|A|AG2|2016|36|M|ALL,HS,A,AG2,2016,36,M,ALL,success,7241,1,d17e596dcab3436db3132e3081e2167e,,2026-05-15T00:09:04+00:00
HS|A|AG2|2016|36|X|ALL,HS,A,AG2,2016,36,X,ALL,success,8304,1,1b93f180015f4abebef43f168f73d463,,2026-05-15T00:09:12+00:00
HS|A|AG2|2017|36|M|ALL,HS,A,AG2,2017,36,M,ALL,success,7254,1,60b4000ec2324a379331c4a72cdd0f50,,2026-05-15T00:09:24+00:00
HS|A|AG2|2017|36|X|ALL,HS,A,AG2,2017,36,X,ALL,success,8376,1,0de0bed8b41f40d5a6405798a0871411,,2026-05-15T00:09:34+00:00
HS|A|AG2|2018|36|M|ALL,HS,A,AG2,2018,36,M,ALL,success,7328,1,d35439cf7194405fbf090b08f5f3b177,,2026-05-15T00:09:50+00:00
HS|A|AG2|2018|36|X|ALL,HS,A,AG2,2018,36,X,ALL,success,8446,1,b2674adbc262447580e97b3bf07c2064,,2026-05-15T00:10:01+00:00
HS|A|AG2|2019|36|M|ALL,HS,A,AG2,2019,36,M,ALL,success,7359,1,3abebebf8a7d475dba1b1f511e861069,,2026-05-15T00:10:11+00:00
HS|A|AG2|2019|36|X|ALL,HS,A,AG2,2019,36,X,ALL,success,8465,1,e30988b217874c3095ac5b109843a625,,2026-05-15T00:10:21+00:00
HS|A|AG2|2020|36|M|ALL,HS,A,AG2,2020,36,M,ALL,success,7354,1,338590316ba74a0ea8bb3c1a7e736142,,2026-05-15T00:10:28+00:00
HS|A|AG2|2020|36|X|ALL,HS,A,AG2,2020,36,X,ALL,success,8150,1,434c7a44bceb478b85c0906bf49d9671,,2026-05-15T00:10:34+00:00
HS|A|AG2|2021|36|M|ALL,HS,A,AG2,2021,36,M,ALL,success,7469,1,52ab70cf20594f38858a6e16fa0fb5a6,,2026-05-15T00:10:41+00:00
HS|A|AG2|2021|36|X|ALL,HS,A,AG2,2021,36,X,ALL,success,8297,1,144401099d284d10b917794527500cc3,,2026-05-15T00:10:50+00:00
HS|A|AG2|2022|36|M|ALL,HS,A,AG2,2022,36,M,ALL,success,7529,1,27ed8e50a4e44084803634b9da435c07,,2026-05-15T00:10:58+00:00
HS|A|AG2|2022|36|X|ALL,HS,A,AG2,2022,36,X,ALL,success,8537,1,a9a025071e4546428e547e7593cf0650,,2026-05-15T00:11:10+00:00
HS|A|AG2|2023|36|M|ALL,HS,A,AG2,2023,36,M,ALL,success,7440,1,e63e924d52ec438d8f0eca98d1b557c5,,2026-05-15T00:11:20+00:00
HS|A|AG2|2023|36|X|ALL,HS,A,AG2,2023,36,X,ALL,success,8656,1,a0dd77108de243f99b2928bf0d9f2338,,2026-05-15T00:11:28+00:00
HS|A|AG2|2024|36|M|ALL,HS,A,AG2,2024,36,M,ALL,success,7526,1,a8e24b1eb30142be88c010cbda6b47ca,,2026-05-15T00:11:36+00:00
HS|A|AG2|2024|36|X|ALL,HS,A,AG2,2024,36,X,ALL,success,8695,1,30dbd6aa3110407880837d53ee90212b,,2026-05-15T00:11:43+00:00
HS|A|AG2|2025|36|M|ALL,HS,A,AG2,2025,36,M,ALL,success,7508,1,f0aee5417b5f40a399dcd6a524331f08,,2026-05-15T00:11:51+00:00
HS|A|AG2|2025|36|X|ALL,HS,A,AG2,2025,36,X,ALL,success,8769,1,07b56414ce7e4a4aa2e393aa6797b353,,2026-05-15T00:11:57+00:00
