join_key,commodity,hs_code,tier,date,year_month,actor1,actor1_country,actor2,actor2_country,event_code,event_label,goldstein_scale,num_mentions,avg_tone,location,source_url
2711_202105,Natural gas,2711,1,2021-05-17,2021-05,INDGOVBUS,OIL AND NATURAL GAS CORPORATION,,,138,,-7.0,10,-2.48138957816377,IN,79.25
7108_202105,Gold,7108,1,2021-05-14,2021-05,,,,,042,Appeal to impose sanctions,1.9,6,-2.09302325581396,SF,28.25
7108_202105,Gold,7108,1,2021-05-14,2021-05,,,,,043,,2.8,10,4.31965442764579,SF,28.25
7108_202105,Gold,7108,1,2021-05-14,2021-05,AFR,AFRICA,,,090,,-2.0,6,0,SF,27.7485
7108_202105,Gold,7108,1,2021-05-14,2021-05,AFR,AFRICA,,,042,Appeal to impose sanctions,1.9,6,-1.39534883720931,SF,28.25
7108_202105,Gold,7108,1,2021-05-14,2021-05,MNCZAFHLH,ANGLOGOLD ASHANTI,,,042,Appeal to impose sanctions,1.9,10,4.31965442764579,SF,28.25
7108_202105,Gold,7108,1,2021-05-14,2021-05,MNCZAFHLH,ANGLOGOLD ASHANTI,,,043,,2.8,6,-2.09302325581396,SF,28.25
7108_202105,Gold,7108,1,2021-05-14,2021-05,MNCZAFHLH,ANGLOGOLD ASHANTI,,,043,,2.8,6,-1.39534883720931,SF,28.25
7108_202105,Gold,7108,1,2021-05-14,2021-05,MNCZAFHLH,ANGLOGOLD ASHANTI,,,070,,7.0,10,0,SF,27.7485
7108_202105,Gold,7108,1,2021-05-17,2021-05,AUS,AUSTRALIA,,,120,,-4.0,8,4.24671385237614,AS,140.5
7108_202105,Gold,7108,1,2021-05-18,2021-05,GBR,UNITED KINGDOM,,,013,,0.4,10,4.08163265306122,UK,-4
7108_202105,Gold,7108,1,2021-05-19,2021-05,BUS,COMPANIES,,,071,,7.4,10,3.96270396270396,AE,54.3667
7108_202105,Gold,7108,1,2021-05-19,2021-05,CAN,CANADA,,,010,,0.0,8,0.85,CA,-121.917
7108_202105,Gold,7108,1,2021-05-19,2021-05,CAN,CANADA,,,050,,3.5,8,3.36,CA,-93.8333
7108_202105,Gold,7108,1,2021-05-19,2021-05,CAN,CANADA,,,084,,7.0,8,0.85,CA,-121.917
7108_202105,Gold,7108,1,2021-05-19,2021-05,NMR,NORTH AMERICA,,,141,,-6.5,2,3.36,CA,-93.8333
7108_202105,Gold,7108,1,2021-05-19,2021-05,NMR,NORTH AMERICA,,,141,,-6.5,2,3.36,CA,-93.8333
7108_202105,Gold,7108,1,2021-05-19,2021-05,NMR,NORTH AMERICA,,,141,,-6.5,2,3.36,CA,-93.8333
7108_202105,Gold,7108,1,2021-05-19,2021-05,USA,UNITED STATES,,,141,,-6.5,4,3.36,CA,-93.8333
7108_202105,Gold,7108,1,2021-05-20,2021-05,,,,,040,,1.0,2,4.18848167539267,US,-80.9684
7108_202105,Gold,7108,1,2021-05-20,2021-05,,,,,190,,-10.0,10,4.18848167539267,US,-80.9684
7108_202105,Gold,7108,1,2021-05-20,2021-05,,,,,046,,7.0,2,4.18848167539267,US,-80.9684
7108_202105,Gold,7108,1,2021-05-20,2021-05,,,,,040,,1.0,8,4.18848167539267,US,-80.9684
7108_202105,Gold,7108,1,2021-05-20,2021-05,BUS,COMPANY,,,030,,4.0,2,0.15048908954101,US,-117.23
7108_202105,Gold,7108,1,2021-05-20,2021-05,BUS,COMPANY,,,030,,4.0,1,0.15048908954101,US,-116.751
7108_202105,Gold,7108,1,2021-05-20,2021-05,BUS,COMPANY,,,030,,4.0,7,0.15048908954101,US,-117.23
7108_202105,Gold,7108,1,2021-05-20,2021-05,BUS,CHAMBER OF COMMERCE,,,040,,1.0,2,4.18848167539267,US,-80.9684
7108_202105,Gold,7108,1,2021-05-20,2021-05,BUS,COMPANY,,,110,,-2.0,5,0.15048908954101,US,-116.751
7108_202105,Gold,7108,1,2021-05-20,2021-05,CVL,COMMUNITY,,,010,,0.0,10,4.18848167539267,US,-80.9684
7108_202105,Gold,7108,1,2021-05-20,2021-05,CVL,TOURIST,,,013,,0.4,2,4.18848167539267,US,-80.9684
7108_202105,Gold,7108,1,2021-05-20,2021-05,CVL,TOURIST,,,013,,0.4,2,4.18848167539267,US,-83.6487
7108_202105,Gold,7108,1,2021-05-20,2021-05,GOV,FIREFIGHTER,,,190,,-10.0,10,4.18848167539267,US,-80.9684
7108_202105,Gold,7108,1,2021-05-20,2021-05,USA,UNITED STATES,,,010,,0.0,2,4.18848167539267,US,-80.9684
7108_202105,Gold,7108,1,2021-05-20,2021-05,USA,UNITED STATES,,,014,,0.0,8,4.18848167539267,US,-80.9684
7108_202105,Gold,7108,1,2021-05-20,2021-05,USA,UNITED STATES,,,046,,7.0,2,4.18848167539267,US,-80.9684
7108_202105,Gold,7108,1,2021-05-20,2021-05,USA,UNITED STATES,,,141,,-6.5,4,0.15048908954101,US,-116.751
7108_202105,Gold,7108,1,2021-05-20,2021-05,USA,NEVADA,,,141,,-6.5,1,0.15048908954101,US,-117.23
7108_202105,Gold,7108,1,2021-05-20,2021-05,USA,UNITED STATES,,,051,,3.4,4,4.18848167539267,US,-80.9684
7108_202105,Gold,7108,1,2021-05-20,2021-05,USA,UNITED STATES,,,141,,-6.5,1,0.15048908954101,US,-117.23
7108_202105,Gold,7108,1,2021-05-20,2021-05,USA,UNITED STATES,,,141,,-6.5,1,0.15048908954101,US,-117.23
7108_202105,Gold,7108,1,2021-05-20,2021-05,USA,UNITED STATES,,,013,,0.4,4,4.18848167539267,US,-80.9684
7108_202105,Gold,7108,1,2021-05-20,2021-05,USABUS,UNITED STATES,,,040,,1.0,8,4.18848167539267,US,-80.9684
7108_202105,Gold,7108,1,2021-05-21,2021-05,COL,COLOMBIA,,,173,Impose embargo,-5.0,5,0.15243902439025,,
7108_202105,Gold,7108,1,2021-05-24,2021-05,CHRCTH,ROMAN CATHOLIC,CHR,CTH,112,,-2.0,3,-3.65296803652968,UK,-0.116667
7108_202105,Gold,7108,1,2021-05-24,2021-05,CHRCTH,ROMAN CATHOLIC,CHR,CTH,112,,-2.0,2,-3.65296803652968,UK,-0.416667
7108_202105,Gold,7108,1,2021-05-24,2021-05,CHRCTH,ROMAN CATHOLIC,CHR,CTH,173,Impose embargo,-5.0,3,-3.65296803652968,UK,-0.116667
7108_202105,Gold,7108,1,2021-05-24,2021-05,CHRCTH,ROMAN CATHOLIC,CHR,CTH,173,Impose embargo,-5.0,2,-3.65296803652968,UK,-0.416667
7108_202105,Gold,7108,1,2021-05-24,2021-05,CODCOP,DEMOCRATIC REPUBLIC OF THE CONGO,,,010,,0.0,2,-5.82010582010582,CG,12.5149
7108_202105,Gold,7108,1,2021-05-24,2021-05,COP,DEPUTY,,,010,,0.0,4,-5.82010582010582,CG,12.5149
