cmd_code,search_term,term_type,language,priority,is_active,source,notes
01,livestock,primary,en,1,1,curated,
01,cattle,primary,en,1,1,curated,
01,live cattle,primary,en,1,1,curated,
01,pigs,primary,en,1,1,curated,
01,poultry,primary,en,1,1,curated,
01,animals,synonym,en,3,1,extracted,
02,beef,primary,en,1,1,curated,
02,pork,primary,en,1,1,curated,
02,chicken,primary,en,1,1,curated,
02,lamb,primary,en,1,1,curated,
02,meat exports,primary,en,1,1,curated,
02,meat,synonym,en,3,1,extracted,noisy alone — pair with context word in loader
02,meat meat offal,synonym,en,4,1,extracted,
02,offal,synonym,en,3,1,extracted,
03,fish,primary,en,1,1,curated,noisy alone — pair with context word in loader
03,seafood,primary,en,1,1,curated,
03,salmon,primary,en,1,1,curated,
03,tuna,primary,en,1,1,curated,
03,shrimp,primary,en,1,1,curated,
03,fishmeal,primary,en,1,1,curated,
03,aquatic,synonym,en,3,1,extracted,
03,crustaceans,synonym,en,3,1,extracted,
03,invertebrates,synonym,en,3,1,extracted,
03,molluscs,synonym,en,3,1,extracted,
04,dairy,primary,en,1,1,curated,
04,milk,primary,en,1,1,curated,
04,cheese,primary,en,1,1,curated,
04,butter,primary,en,1,1,curated,
04,milk powder,primary,en,1,1,curated,
04,skim milk powder,primary,en,1,1,curated,
04,animal,synonym,en,3,1,extracted,
04,animal origin,synonym,en,4,1,extracted,
04,birds,synonym,en,3,1,extracted,
04,birds eggs,synonym,en,4,1,extracted,
04,dairy produce,synonym,en,4,1,extracted,
04,eggs,synonym,en,3,1,extracted,
04,honey,synonym,en,3,1,extracted,
04,natural,synonym,en,3,1,extracted,
04,natural honey,synonym,en,4,1,extracted,
04,origin,synonym,en,3,1,extracted,
04,produce,synonym,en,3,1,extracted,
05,animal,primary,en,3,1,extracted,
05,animal originated,primary,en,4,1,extracted,
05,originated,primary,en,3,1,extracted,
06,bulbs,primary,en,3,1,extracted,
06,bulbs roots,primary,en,4,1,extracted,
06,flowers,primary,en,3,1,extracted,
06,foliage,primary,en,3,1,extracted,
06,ornamental,primary,en,3,1,extracted,
06,plants,primary,en,3,1,extracted,
06,roots,primary,en,3,1,extracted,
06,trees,primary,en,3,1,extracted,
06,trees plants,primary,en,4,1,extracted,
07,vegetables,primary,en,1,1,curated,
07,onions,primary,en,1,1,curated,
07,tomatoes,primary,en,1,1,curated,
07,potatoes,primary,en,1,1,curated,
07,garlic,primary,en,1,1,curated,
07,roots,synonym,en,3,1,extracted,
07,tubers,synonym,en,3,1,extracted,
07,vegetables roots tubers,synonym,en,4,1,extracted,
08,fruit,primary,en,1,1,curated,
08,bananas,primary,en,1,1,curated,
08,apples,primary,en,1,1,curated,
08,oranges,primary,en,1,1,curated,
08,avocados,primary,en,1,1,curated,
08,grapes,primary,en,1,1,curated,
08,citrus,synonym,en,3,1,extracted,
08,fruit nuts,synonym,en,4,1,extracted,
08,melons,synonym,en,3,1,extracted,
08,nuts,synonym,en,3,1,extracted,
08,peel,synonym,en,3,1,extracted,
09,coffee,primary,en,1,1,curated,noisy alone — pair with context word in loader
09,tea,primary,en,1,1,curated,noisy alone — pair with context word in loader
09,spices,primary,en,1,1,curated,
09,pepper,primary,en,1,1,curated,
09,vanilla,primary,en,1,1,curated,
09,saffron,primary,en,1,1,curated,
09,mate,synonym,en,3,1,extracted,
10,wheat,primary,en,1,1,curated,noisy alone — pair with context word in loader
10,corn,primary,en,1,1,curated,
10,maize,primary,en,1,1,curated,
10,rice,primary,en,1,1,curated,noisy alone — pair with context word in loader
10,barley,primary,en,1,1,curated,
10,oats,primary,en,1,1,curated,
10,sorghum,primary,en,1,1,curated,
10,rye,primary,en,1,1,curated,
10,cereals,synonym,en,3,1,extracted,
11,gluten,primary,en,3,1,extracted,
11,industry,primary,en,3,1,extracted,
11,inulin,primary,en,3,1,extracted,
11,malt,primary,en,3,1,extracted,
11,milling,primary,en,3,1,extracted,
11,milling industry,primary,en,4,1,extracted,
11,starches,primary,en,3,1,extracted,
11,wheat,primary,en,3,1,extracted,noisy alone — pair with context word in loader
12,soybeans,primary,en,1,1,curated,
12,rapeseed,primary,en,1,1,curated,
12,canola,primary,en,1,1,curated,
12,sunflower seeds,primary,en,1,1,curated,
12,palm kernel,primary,en,1,1,curated,
12,oilseeds,primary,en,1,1,curated,
12,fodder,synonym,en,3,1,extracted,
12,fruit,synonym,en,3,1,extracted,
12,fruits,synonym,en,3,1,extracted,
12,grains,synonym,en,3,1,extracted,
12,industrial,synonym,en,3,1,extracted,
